transaction_id,product1,product2,product3,product4,product5,product6,product7,product8,product9,product10,product11,product12,product13,product14,product15,product16,product17,product18,product19,product20,product21,product22,product23,product24,product25,product26,product27,product28,product29,product30,product31,product32,product33,product34,product35,product36,product37,product38,product39,product40,product41,product42,product43,product44,product45
729,Cocktails/Liqueurs,Beer/Lager Gifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,New Zealand White,Italy White,French White 2,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,South Africa Red,New Zealand White,Italy White,Italian White,Iberia,French White 2,French Red South,French Red 2,Champagne,Bottled Ale,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Vodka,Vermouths/Aperitifs,Speciality Beer,Sparkling,South America White,South America,South Africa Red,New Zealand White,Italy White,Italian White,Iberia White,Iberia,Everyday Cider,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Sherry Spanish,Gin,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,White Boxes,Standard Lager,Sparkling,Own Label,Nablab,Italy White,Iberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Std Canned Ale,Bitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Vodka,Rum,Premium Lager,Premium Cider,Own Label,Fruit Cider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Whisky,Standard Lager,Sparkling,Gin,Cocktails/Liqueurs,Australian White,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,South America,South Africa Red,Premium Lager,Italy White,Iberia,Gin,Champagne,Bitter,Australian Red,Australia White,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Stout,South America,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,South African White,Italy White,Italian White,Champagne,Australian White,American White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Italy White,Brnd Alchol Carbntes,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,White Boxes,Sherry Spanish,Red Wine Bxes & 25Cl,Other Red,German,Cocktails/Liqueurs,British Fortified,Basics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Whisky,Low Alcohol A.C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Sherry Spanish,Port,Nablab,Iberia,Gin,French Red 2,Cocktails/Liqueurs,Bottled Ale,Australian Red,American White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,White Boxes,Sparkling,South America,South Africa White,South Africa Red,Small Sizes White,Red Wine Bxes & 25Cl,Premium Canned Ale,Port,Made Wine British,Italy White,French White South,French Red South,French Red,Cocktails/Liqueurs,Australian White,Australian Red,American White,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Standard Lager,Premium Lager,Premium Cider,Perry,Over-Ice Cider,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Speciality Beer,Sparkling,South America White,South African White,Sherry Spanish,Premium Cider,New Zealand White,Italy White,Italian White,Iberia White,Gin,French Red South,Cocktails/Liqueurs,Bottled Ale,Australian White,Australian Red,Australia White,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,World Beer,South Africa White,New Zealand White,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Sparkling,German,Bottled Ale,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,South America White,Iberia,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Sparkling,Premium Lager,Italy White,Italian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Sparkling,Premium Lager,Italy White,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Vermouths/Aperitifs,Spirits Mixers,Red Wine Bxes & 25Cl,Other Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Sparkling,South America White,South Africa White,South Africa Red,Premium Lager,Italy White,Italian White,Italian Red,Iberia,French White South,French White 2,French Red South,French Red 2,Australian White,Australian Red,Australia White,American White,American Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,South America,French White 2,French Red South,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Premium Lager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,White Boxes,Small Sizes Red,French White 2,French White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Premium Lager,New Zealand White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Standard Lager,Spirits Mixers,Sparkling,Premium Lager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,World Beer,Standard Lager,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Brnd Alchol Carbntes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,White Boxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Fine Wines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Sparkling,Premium Lager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,South America,Rum,Italy White,Italian White,Iberia White,Bottled Ale,Bitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Standard Lager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Premium Lager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,Vodka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Premium Canned Ale,New Zealand White,Italy White,French White 2,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Standard Lager,French White South,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,World Beer,Spirits Mixers,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Premium Lager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Iberia,Cocktails/Liqueurs,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,White Rum,Vodka,South African White,Premium Lager,Own Label,New Zealand White,Gin,Brandy/Cognac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,World Beer,Vodka,Spirits Mixers,Speciality Beer,Sparkling,South African White,Small Sizes Red,Over-Ice Cider,New Zealand White,Italy White,Iberia,Gin,French Red 2,French Red,Brandy/Cognac,Australian Red,American White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Standard Lager,Speciality Beer,Sparkling,South African White,Ready To Drink,Premium Cider,Italy White,Italian White,Australian White,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Sparkling,Sherry Spanish,Gin,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Vodka,Sparkling,Small Sizes Wht Othr,Port,Italy White,Ireland Products,Iberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,World Beer,Malt Whisky,Cocktails/Liqueurs,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Premium Lager,German,Everyday Cider,Cocktails/Liqueurs,Brnd Alchol Carbntes,Bitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,World Beer,Sparkling,South America White,Premium Lager,New Zealand White,French White South,Cocktails/Liqueurs,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,Sparkling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,World Beer,Sparkling,South America White,South America,Sherry Spanish,Premium Lager,Port,New Zealand White,Italian White,Italian Red,French White 2,French Red 2,Champagne,Bottled Ale,Australian White,Australia White,American White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,South America White,South Africa Red,Small Sizes White,New Zealand White,Italian White,American White,American Red,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,South Africa Red,Premium Lager,New Zealand White,Italy White,Italian White,Iberia White,Cocktails/Liqueurs,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,World Beer,Whisky,Spirits Mixers,Premium Lager,New Zealand White,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,Spirits Mixers,Sparkling,South America,South Africa Red,Sherry Spanish,Premium Cider,Over-Ice Cider,Other Red,Nablab,Fruit Cider,French Red South,Cocktails/Liqueurs,Bottled Ale,Beer/Lager Gifts,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,World Beer,Standard Lager,New Zealand White,New Zealand Red,Iberia White,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,World Beer,Vodka,Standard Lager,Sparkling,South America White,South America,South African White,South Africa Red,Premium Lager,New Zealand White,Nablab,Malt Whisky,Italy White,Italian Red,Iberia White,French White South,French White 2,French Red 2,Cocktails/Liqueurs,Australian White,Australian Red,Australia White,American White,America White,,,,,,,,,,,,,,,,,,,,,
792,Vermouths/Aperitifs,Standard Lager,Premium Lager,Gin,Cocktails/Liqueurs,Brandy/Cognac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,World Beer,Vodka,Spirits Mixers,Sparkling,Sherry Spanish,Cocktails/Liqueurs,Champagne,Bottled Ale,Australian White,American White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,White Boxes,South America White,New Zealand White,Italy White,French White 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,Standard Lager,Speciality Beer,Premium Lager,Italy White,Italian White,Italian Red,French Red South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,World Beer,Italian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,Vermouths/Aperitifs,Premium Cider,Port,Iberia,Everyday Cider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Sherry Spanish,Made Wine British,Italy White,Italian Red,French White 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,Sparkling,South Africa Red,No/Low Alc Cider,Nablab,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Standard Lager,Gin,French White 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Premium Lager,Italy White,French Red 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,White Rum,Vodka,Vermouths/Aperitifs,French Red,Cooking Wine,Cocktails/Liqueurs,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,World Beer,Sparkling,South America,South Africa Red,Rum,New Zealand White,New Zealand Red,Italy White,Italian Red,Iberia White,Iberia,Gin,French Red 2,Champagne,Australian Red,Australia White,American White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,Stout,Standard Lager,Sparkling,South America,Champagne,American White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Premium Lager,Italian Red,Iberia,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Speciality Beer,South America,South African White,Rum,New Zealand Red,Malt Whisky,Italian Red,Iberia,French Red,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,World Beer,Italian Red,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,Standard Lager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,World Beer,Standard Lager,Sparkling,South America,South Africa Red,Premium Lager,Premium Canned Ale,Italian Red,Iberia,French Red South,French Red 2,Brnd Alchol Carbntes,Australian Red,American Rose,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,World Beer,Vodka,Premium Cider,Premium Canned Ale,Fruit Cider,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,Vodka,Vermouths/Aperitifs,Speciality Beer,South America White,South African White,Iberia White,Iberia,Cocktails/Liqueurs,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,Sparkling,South America White,South America,South Africa White,Sherry Spanish,New Zealand White,Italy White,Italian White,French White South,Australian White,Australian Red,Australia White,American White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Vodka,Standard Lager,Sparkling,South African White,Italy White,Iberia White,Iberia,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,World Beer,Premium Lager,Italy White,French Red South,Australian Red,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,World Beer,Sparkling,New Zealand White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,Standard Lager,Premium Lager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,South African White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Whisky,Standard Lager,Everyday Cider,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,Vodka,Speciality Beer,South African White,South Africa Red,Premium Lager,Italy White,Italian White,Italian Red,Iberia,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,White Rum,Vodka,Sparkling,South Africa Red,Premium Lager,Over-Ice Cider,Brnd Alchol Carbntes,Bottled Ale,Australian White,Australian Red,Australia White,American Rose,American Red,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,South Africa Red,Italian Red,French Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,French White 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Sparkling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,World Beer,Vodka,Stout,South Africa White,Small Sizes White,Premium Cider,Over-Ice Cider,New Zealand White,Italy White,Italian White,Italian Red,Iberia White,Iberia,French Red 2,Cocktails/Liqueurs,Bottled Ale,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,Standard Lager,South America,South Africa Red,Premium Lager,Italy White,Italian White,Italian Red,Iberia,French Red South,Cooking Wine,Australian Red,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Whisky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,Small Sizes Red,Own Label,Gin,French Red 2,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,White Boxes,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,World Beer,Premium Lager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Small Sizes White,Premium Cider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,World Beer,South America White,Gin,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,Premium Cider,Other Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,World Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,Sherry Spanish,Premium Lager,New Zealand White,French Red South,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,South America White,South America,South African White,Italy White,Cocktails/Liqueurs,Bottled Ale,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,South African White,American White,American Rose,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,World Beer,White Boxes,South America White,South Africa White,Premium Lager,New Zealand White,Italy White,Italian White,Italian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,Kosher Red,French White 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Iberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,World Beer,White Boxes,South African White,South Africa White,South Africa Red,New Zealand White,Italy White,Champagne,Bottled Ale,Beer/Lager Gifts,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Vodka,Sherry Spanish,Cocktails/Liqueurs,Brnd Alchol Carbntes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Sparkling,French White,American White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,White Rum,Vodka,Speciality Beer,Sparkling,South America,South Africa Red,Premium Lager,Premium Cider,Over-Ice Cider,New Zealand White,Italy White,Italian White,Italian Red,Iberia,Gin,French White South,French Red South,French Red 2,Cocktails/Liqueurs,Brandy/Cognac,Bottled Ale,Bitter,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,
847,Speciality Beer,Premium Lager,New Zealand White,Malt Whisky,Italy White,Gin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,World Beer,Standard Lager,Sparkling,South Africa White,Red Wine Bxes & 25Cl,Own Label,Italy White,Italian White,Iberia White,French White 2,Australian White,Australia White,American Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,World Beer,Standard Lager,Premium Lager,New Zealand White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Sparkling,South Africa White,Premium Lager,Italy White,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,World Beer,Vodka,Speciality Beer,Sparkling,Port,Over-Ice Cider,New Zealand White,Italy White,Gin,French White 2,Everyday Cider,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Over-Ice Cider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Stout,South African White,Other Red,French Red South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,World Beer,Standard Lager,Speciality Beer,Sparkling,South America White,Premium Lager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,World Beer,Spirits Mixers,Speciality Beer,Sparkling,South Africa Red,Small Sizes White,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,Std Canned Ale,South America White,South America,Premium Lager,Over-Ice Cider,Other Red,Italy White,American White,American Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,South Africa Red,Premium Lager,New Zealand White,Italy White,Italian White,Cooking Wine,Bottled Ale,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,White Uk,Sparkling,South America White,South African White,South Africa White,Italy White,Italian White,Australian White,Australian Red,Australia White,American White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Sparkling,South America White,South America,South African White,South Africa White,Rum,Premium Lager,Premium Cider,Premium Canned Ale,New Zealand White,Iberia,Gin,French White Loire,French White 2,Bottled Ale,Bitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,World Beer,Stout,Sparkling,South Africa Red,Sherry Spanish,Rum,Premium Lager,Port,New Zealand White,Italy White,Italian Red,Gin,French Red 2,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,South America White,South America,Sherry Spanish,Other Red,Made Wine British,Italian White,Italian Red,Gin,French Red 2,Brandy/Cognac,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Whisky,Speciality Beer,Premium Cider,Premium Canned Ale,Made Wine British,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Vodka,Gin,Cooking Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,World Beer,Speciality Beer,South America,New Zealand White,Italy White,French White 2,French Red 2,Cocktails/Liqueurs,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,South African White,Other Red,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,New Zealand White,Italy White,French White 2,Cooking Wine,Champagne,Bottled Ale,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Nablab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,World Beer,White Boxes,South Africa Red,Red Wine Bxes & 25Cl,Other Red,Italy White,Italian White,Iberia,Australian White,American Red,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Over-Ice Cider,Everyday Cider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Whisky,Sherry Spanish,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,World Beer,Whisky,Sherry Spanish,Premium Lager,Over-Ice Cider,Malt Whisky,Cocktails/Liqueurs,Brandy/Cognac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Italy White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Sparkling,Italian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,World Beer,White Boxes,Standard Lager,Sparkling,Italy White,Italian White,Champagne,Bitter,American White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,White Rum,Sherry Spanish,Rum,Premium Lager,Iberia,Gin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Stout,Standard Lager,Spirits Mixers,Speciality Beer,South Africa White,Rum,Italy White,Everyday Cider,Bitter,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Standard Lager,Sparkling,South America White,South Africa White,South Africa Red,Own Label,Miscellaneous,Italy White,Italian Red,Iberia,Fruit Cider,French White 2,Everyday Cider,Cocktails/Liqueurs,Australian White,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,South Africa White,French White 2,French Red 2,French Red,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Premium Lager,French White 2,French Red 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Standard Lager,Nablab,Italian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,South America White,Italy White,Italian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,White Boxes,Vodka,Red Wine Bxes & 25Cl,Premium Cider,Port,Over-Ice Cider,Italy White,Italian White,Gin,Fruit Cider,Cocktails/Liqueurs,Bottled Ale,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,World Beer,French Red South,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,South America White,South America,Small Sizes White,Small Sizes Red,Premium Cider,Premium Canned Ale,French Red 2,British Fortified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,South African White,South Africa Red,New Zealand White,French Red 2,Cocktails/Liqueurs,Champagne,Australian White,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,New Zealand White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,World Beer,Gin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Cocktails/Liqueurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,World Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Nablab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Sparkling,South America White,South America,Italy White,Italian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Speciality Beer,South Africa White,Sherry Spanish,Premium Lager,Port,Bitter,American White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Speciality Beer,Sparkling,South America,South Africa Red,Premium Canned Ale,Port,New Zealand White,Italy White,Italian Red,Iberia,Gin,French White 2,French Red South,French Red 2,Bottled Ale,Australian White,Australian Red,American White,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Iberia,French White 2,French Red 2,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Over-Ice Cider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Stout,New Zealand White,German,French Red South,French Red 2,Australian White,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Sparkling,South America White,Premium Lager,French White 2,Everyday Cider,American White,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,White Boxes,Speciality Beer,Sparkling,Red Wine Bxes & 25Cl,Ireland Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,World Beer,Vodka,Spirits & Fortified,Sparkling,South America,South Africa White,Premium Lager,Premium Cider,Port,New Zealand White,Fine Wines,Everyday Cider,Cocktails/Liqueurs,Champagne,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,World Beer,Whisky,Sparkling,South America,Premium Lager,Premium Canned Ale,Over-Ice Cider,Bottled Ale,Bitter,Australian White,Australian Red,American Red,America White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
